tconst,titleType,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,plot
tt2458948,movie,Evangelion: 3.0+1.01 Thrice Upon a Time,Shin Evangelion Gekijôban,2021,155.0,"Action,Animation,Drama",8.0,16040.0,"{'en-US': 'Misato and her anti-NERV group WILLE arrive in Paris, a city now red from core-ization. Crew from the flagship Wunder land on a containment tower.'}"
tt2459156,movie,Copenhagen,Copenhagen,2014,98.0,"Adventure,Drama,Romance",7.0,14054.0,"{'en-US': ""When the girl of your dreams is half your age, it's time to grow up.""}"
tt2461132,movie,Happy New Year,Happy New Year,2014,180.0,"Action,Comedy,Drama",5.0,42701.0,{'en-US': 'A gang of amateur dancers takes part in a dancing competition to avenge their personal vendetta.'}
tt2461150,movie,Masterminds,Masterminds,2015,95.0,"Biography,Comedy,Crime",5.8,62938.0,{'en-US': 'A guard at an armored car company in the Southern U.S. organizes one of the biggest bank heists in American history.'}
tt2461520,movie,Man Down,Man Down,2015,90.0,"Drama,Thriller,War",6.0,11472.0,"{'en-US': 'In a post-apocalyptic America, former U.S. Marine Gabriel Drummer searches desperately for the whereabouts of his son, accompanied by his best friend and a survivor.'}"
tt2463208,movie,The Adam Project,The Adam Project,2022,106.0,"Action,Adventure,Comedy",6.7,245630.0,"{'en-US': 'After accidentally crash-landing in 2022, time-traveling fighter pilot Adam Reed teams up with his 12-year-old self for a mission to save the future.'}"
tt2463288,movie,Walk of Shame,Walk of Shame,2014,95.0,Comedy,6.0,58125.0,"{'en-US': ""A reporter's dream of becoming a news anchor is compromised after a one-night stand leaves her stranded in downtown L.A. without a phone, car, ID or money - and only 8 hours to make it to the most important job interview of her life.""}"
tt2465146,movie,And So It Goes,And So It Goes,2014,94.0,"Comedy,Drama,Romance",5.9,15745.0,"{'en-US': ""A self-absorbed realtor enlists the help of his neighbor when he's suddenly left in charge of the granddaughter he never knew existed until his estranged son drops her off at his home.""}"
tt2465578,movie,Human Capital,Il capitale umano,2013,111.0,"Crime,Drama",7.2,13751.0,{'en-US': 'The destinies of two families are irrevocably tied together after a cyclist is hit off the road by a jeep in the night before Christmas Eve.'}
tt2467046,movie,Left Behind,Left Behind,2014,110.0,"Action,Fantasy,Sci-Fi",3.1,43612.0,{'en-US': 'A small group of survivors is left behind after millions of people suddenly vanish and the world is plunged into chaos and destruction.'}
tt2468774,movie,Confession of Murder,Naega sarinbeomida,2012,119.0,"Action,Crime,Mystery",7.0,12356.0,"{'en-US': ""Lee Du-Seok publishes an autobiography describing murders he committed after the statute of limitations expires. A detective and one of the victims' mother search for the author while an anonymous person claims to be the real killer.""}"
tt2471640,movie,The Mountain,Dag,2012,90.0,"Adventure,Drama,Thriller",7.5,24752.0,"{'en-US': 'The heroic story of two soldiers trapped in an ambush, fighting for their lives.'}"
