tconst,titleType,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,averageRating,numVotes
tt0106453,movie,Body of Evidence,Body of Evidence,1993,99,"Drama,Thriller",4.6,17011.0
tt0106469,movie,"Blood In, Blood Out",Bound by Honor,1993,180,"Biography,Crime,Drama",7.9,35988.0
tt0106471,movie,Boxing Helena,Boxing Helena,1993,107,"Drama,Mystery,Romance",4.7,13563.0
tt0106489,movie,A Bronx Tale,A Bronx Tale,1993,121,"Crime,Drama",7.8,171644.0
tt0106500,movie,CB4,CB4,1993,89,"Comedy,Music",6.2,10831.0
tt0106519,movie,Carlito's Way,Carlito's Way,1993,144,"Crime,Drama,Thriller",7.9,239631.0
tt0106557,movie,Children of the Corn II: The Final Sacrifice,Children of the Corn II: The Final Sacrifice,1992,92,"Horror,Thriller",4.4,10058.0
tt0106582,movie,Cliffhanger,Cliffhanger,1993,113,"Action,Adventure,Thriller",6.5,144334.0
tt0106598,movie,Coneheads,Coneheads,1993,88,"Comedy,Sci-Fi",5.5,59822.0
tt0106611,movie,Cool Runnings,Cool Runnings,1993,98,"Adventure,Comedy,Family",7.0,117740.0
tt0106627,movie,The Crush,The Crush,1993,89,"Crime,Drama,Romance",5.8,23445.0
tt0106664,movie,The Dark Half,The Dark Half,1993,122,"Horror,Mystery,Thriller",6.0,20749.0
tt0106673,movie,Dave,Dave,1993,110,"Comedy,Romance",6.9,58641.0
tt0106677,movie,Dazed and Confused,Dazed and Confused,1993,103,Comedy,7.6,207692.0
tt0106697,movie,Demolition Man,Demolition Man,1993,115,"Action,Sci-Fi,Thriller",6.7,201961.0
tt0106701,movie,Dennis the Menace,Dennis the Menace,1993,94,"Comedy,Family",5.7,66968.0
tt0106761,movie,Double Dragon,Double Dragon,1994,96,"Action,Adventure,Comedy",3.9,14318.0
tt0106770,movie,Dragon: The Bruce Lee Story,Dragon: The Bruce Lee Story,1993,120,"Action,Biography,Drama",7.0,33840.0
tt0106856,movie,Falling Down,Falling Down,1993,113,"Crime,Drama,Thriller",7.6,215833.0
tt0106881,movie,Fearless,Fearless,1993,122,"Drama,Thriller",7.0,25305.0
tt0106912,movie,Fire in the Sky,Fire in the Sky,1993,109,"Biography,Drama,Fantasy",6.5,30040.0
tt0106918,movie,The Firm,The Firm,1993,154,"Drama,Mystery,Thriller",6.9,154080.0
tt0106941,movie,For Love or Money,For Love or Money,1993,96,"Comedy,Drama,Romance",6.2,16024.0
tt0106950,movie,Fortress,Fortress,1992,95,"Action,Crime,Sci-Fi",5.9,31286.0
tt0106965,movie,Free Willy,Free Willy,1993,112,"Adventure,Drama,Family",6.0,85929.0
tt0106977,movie,The Fugitive,The Fugitive,1993,130,"Action,Crime,Drama",7.8,332385.0
